# x f(x) derivative
-3.97 -62.5708 47.2827
-3.965 -62.3347 47.1637
-3.96 -62.0991 47.0448
-3.955 -61.8642 46.9261
-3.95 -61.6299 46.8075
-3.945 -61.3961 46.6891
-3.94 -61.163 46.5708
-3.935 -60.9304 46.4527
-3.93 -60.6985 46.3347
-3.925 -60.4671 46.2169
-3.92 -60.2363 46.0992
-3.915 -60.0061 45.9817
-3.91 -59.7765 45.8643
-3.905 -59.5474 45.7471
-3.9 -59.319 45.63
-3.895 -59.0911 45.5131
-3.89 -58.8639 45.3963
-3.885 -58.6372 45.2797
-3.88 -58.4111 45.1632
-3.875 -58.1855 45.0469
-3.87 -57.9606 44.9307
-3.865 -57.7362 44.8147
-3.86 -57.5125 44.6988
-3.855 -57.2893 44.5831
-3.85 -57.0666 44.4675
-3.845 -56.8446 44.3521
-3.84 -56.6231 44.2368
-3.835 -56.4022 44.1217
-3.83 -56.1819 44.0067
-3.825 -55.9621 43.8919
-3.82 -55.743 43.7772
-3.815 -55.5244 43.6627
-3.81 -55.3063 43.5483
-3.805 -55.0889 43.4341
-3.8 -54.872 43.32
-3.795 -54.6557 43.2061
-3.79 -54.4399 43.0923
-3.785 -54.2248 42.9787
-3.78 -54.0102 42.8652
-3.775 -53.7961 42.7519
-3.77 -53.5826 42.6387
-3.765 -53.3697 42.5257
-3.76 -53.1574 42.4128
-3.755 -52.9456 42.3001
-3.75 -52.7344 42.1875
-3.745 -52.5237 42.0751
-3.74 -52.3136 41.9628
-3.735 -52.1041 41.8507
-3.73 -51.8951 41.7387
-3.725 -51.6867 41.6269
-3.72 -51.4788 41.5152
-3.715 -51.2716 41.4037
-3.71 -51.0648 41.2923
-3.705 -50.8586 41.1811
-3.7 -50.653 41.07
-3.695 -50.4479 40.9591
-3.69 -50.2434 40.8483
-3.685 -50.0394 40.7377
-3.68 -49.836 40.6272
-3.675 -49.6332 40.5169
-3.67 -49.4309 40.4067
-3.665 -49.2291 40.2967
-3.66 -49.0279 40.1868
-3.655 -48.8272 40.0771
-3.65 -48.6271 39.9675
-3.645 -48.4276 39.8581
-3.64 -48.2285 39.7488
-3.635 -48.0301 39.6397
-3.63 -47.8321 39.5307
-3.625 -47.6348 39.4219
-3.62 -47.4379 39.3132
-3.615 -47.2416 39.2047
-3.61 -47.0459 39.0963
-3.605 -46.8507 38.9881
-3.6 -46.656 38.88
-3.595 -46.4619 38.7721
-3.59 -46.2683 38.6643
-3.585 -46.0752 38.5567
-3.58 -45.8827 38.4492
-3.575 -45.6907 38.3419
-3.57 -45.4993 38.2347
-3.565 -45.3084 38.1277
-3.56 -45.118 38.0208
-3.555 -44.9282 37.9141
-3.55 -44.7389 37.8075
-3.545 -44.5501 37.7011
-3.54 -44.3619 37.5948
-3.535 -44.1742 37.4887
-3.53 -43.987 37.3827
-3.525 -43.8003 37.2769
-3.52 -43.6142 37.1712
-3.515 -43.4286 37.0657
-3.51 -43.2436 36.9603
-3.505 -43.059 36.8551
-3.5 -42.875 36.75
-3.495 -42.6915 36.6451
-3.49 -42.5085 36.5403
-3.485 -42.3261 36.4357
-3.48 -42.1442 36.3312
-3.475 -41.9628 36.2269
-3.47 -41.7819 36.1227
-3.465 -41.6016 36.0187
-3.46 -41.4217 35.9148
-3.455 -41.2424 35.8111
-3.45 -41.0636 35.7075
-3.445 -40.8853 35.6041
-3.44 -40.7076 35.5008
-3.435 -40.5303 35.3977
-3.43 -40.3536 35.2947
-3.425 -40.1774 35.1919
-3.42 -40.0017 35.0892
-3.415 -39.8265 34.9867
-3.41 -39.6518 34.8843
-3.405 -39.4777 34.7821
-3.4 -39.304 34.68
-3.395 -39.1309 34.5781
-3.39 -38.9582 34.4763
-3.385 -38.7861 34.3747
-3.38 -38.6145 34.2732
-3.375 -38.4434 34.1719
-3.37 -38.2728 34.0707
-3.365 -38.1027 33.9697
-3.36 -37.9331 33.8688
-3.355 -37.764 33.7681
-3.35 -37.5954 33.6675
-3.345 -37.4273 33.5671
-3.34 -37.2597 33.4668
-3.335 -37.0926 33.3667
-3.33 -36.926 33.2667
-3.325 -36.76 33.1669
-3.32 -36.5944 33.0672
-3.315 -36.4293 32.9677
-3.31 -36.2647 32.8683
-3.305 -36.1006 32.7691
-3.3 -35.937 32.67
-3.295 -35.7739 32.5711
-3.29 -35.6113 32.4723
-3.285 -35.4492 32.3737
-3.28 -35.2876 32.2752
-3.275 -35.1264 32.1769
-3.27 -34.9658 32.0787
-3.265 -34.8056 31.9807
-3.26 -34.646 31.8828
-3.255 -34.4868 31.7851
-3.25 -34.3281 31.6875
-3.245 -34.1699 31.5901
-3.24 -34.0122 31.4928
-3.235 -33.855 31.3957
-3.23 -33.6983 31.2987
-3.225 -33.542 31.2019
-3.22 -33.3862 31.1052
-3.215 -33.231 31.0087
-3.21 -33.0762 30.9123
-3.205 -32.9218 30.8161
-3.2 -32.768 30.72
-3.195 -32.6146 30.6241
-3.19 -32.4618 30.5283
-3.185 -32.3094 30.4327
-3.18 -32.1574 30.3372
-3.175 -32.006 30.2419
-3.17 -31.855 30.1467
-3.165 -31.7045 30.0517
-3.16 -31.5545 29.9568
-3.155 -31.4049 29.8621
-3.15 -31.2559 29.7675
-3.145 -31.1073 29.6731
-3.14 -30.9591 29.5788
-3.135 -30.8115 29.4847
-3.13 -30.6643 29.3907
-3.125 -30.5176 29.2969
-3.12 -30.3713 29.2032
-3.115 -30.2255 29.1097
-3.11 -30.0802 29.0163
-3.105 -29.9354 28.9231
-3.1 -29.791 28.83
-3.095 -29.6471 28.7371
-3.09 -29.5036 28.6443
-3.085 -29.3606 28.5517
-3.08 -29.2181 28.4592
-3.075 -29.076 28.3669
-3.07 -28.9344 28.2747
-3.065 -28.7933 28.1827
-3.06 -28.6526 28.0908
-3.055 -28.5124 27.9991
-3.05 -28.3726 27.9075
-3.045 -28.2333 27.8161
-3.04 -28.0945 27.7248
-3.035 -27.9561 27.6337
-3.03 -27.8181 27.5427
-3.025 -27.6806 27.4519
-3.02 -27.5436 27.3612
-3.015 -27.407 27.2707
-3.01 -27.2709 27.1803
-3.005 -27.1352 27.0901
-3 -27 27
-2.995 -26.8652 26.9101
-2.99 -26.7309 26.8203
-2.985 -26.597 26.7307
-2.98 -26.4636 26.6412
-2.975 -26.3306 26.5519
-2.97 -26.1981 26.4627
-2.965 -26.066 26.3737
-2.96 -25.9343 26.2848
-2.955 -25.8031 26.1961
-2.95 -25.6724 26.1075
-2.945 -25.5421 26.0191
-2.94 -25.4122 25.9308
-2.935 -25.2828 25.8427
-2.93 -25.1538 25.7547
-2.925 -25.0252 25.6669
-2.92 -24.8971 25.5792
-2.915 -24.7694 25.4917
-2.91 -24.6422 25.4043
-2.905 -24.5154 25.3171
-2.9 -24.389 25.23
-2.895 -24.2631 25.1431
-2.89 -24.1376 25.0563
-2.885 -24.0125 24.9697
-2.88 -23.8879 24.8832
-2.875 -23.7637 24.7969
-2.87 -23.6399 24.7107
-2.865 -23.5166 24.6247
-2.86 -23.3937 24.5388
-2.855 -23.2712 24.4531
-2.85 -23.1491 24.3675
-2.845 -23.0275 24.2821
-2.84 -22.9063 24.1968
-2.835 -22.7855 24.1117
-2.83 -22.6652 24.0267
-2.825 -22.5453 23.9419
-2.82 -22.4258 23.8572
-2.815 -22.3067 23.7727
-2.81 -22.188 23.6883
-2.805 -22.0698 23.6041
-2.8 -21.952 23.52
-2.795 -21.8346 23.4361
-2.79 -21.7176 23.3523
-2.785 -21.6011 23.2687
-2.78 -21.485 23.1852
-2.775 -21.3692 23.1019
-2.77 -21.2539 23.0187
-2.765 -21.139 22.9357
-2.76 -21.0246 22.8528
-2.755 -20.9105 22.7701
-2.75 -20.7969 22.6875
-2.745 -20.6836 22.6051
-2.74 -20.5708 22.5228
-2.735 -20.4584 22.4407
-2.73 -20.3464 22.3587
-2.725 -20.2348 22.2769
-2.72 -20.1236 22.1952
-2.715 -20.0129 22.1137
-2.71 -19.9025 22.0323
-2.705 -19.7926 21.9511
-2.7 -19.683 21.87
-2.695 -19.5739 21.7891
-2.69 -19.4651 21.7083
-2.685 -19.3568 21.6277
-2.68 -19.2488 21.5472
-2.675 -19.1413 21.4669
-2.67 -19.0342 21.3867
-2.665 -18.9274 21.3067
-2.66 -18.8211 21.2268
-2.655 -18.7152 21.1471
-2.65 -18.6096 21.0675
-2.645 -18.5045 20.9881
-2.64 -18.3997 20.9088
-2.635 -18.2954 20.8297
-2.63 -18.1914 20.7507
-2.625 -18.0879 20.6719
-2.62 -17.9847 20.5932
-2.615 -17.882 20.5147
-2.61 -17.7796 20.4363
